Polarity,Text
Neg,اللي سمعته وقريته انه يشرب بنزين وعزمه ميت.
Mix,مازدا 6 مكينة سكاي اكتف اقتصادية بالبنزين لكن يعيبها ضيق الكراسي الخلفية.
Neg,الكوري سوناتا وابتما صرفيتهم بالنسبه للبقيه مرتفعة لكن انتظر الموديلات القادمة من الكوري اكيد بيكون في تعديل بالقير وصرفية الوقود.
Pos,مازدا 6 افضل ياباني واقتصادية وشوف انتشارها ممكن تتاخر من الوكيل في التسليم ولكن هي الافضل.
Pos,التشارجر ملفتة للنظر، شبابية وجميلة، بالإضافة لحماس ومتعة القيادة.
Pos,كان معي النترا 2013 بصراحه مكيفها جبار في كل الأحوال.
Neg,الان معي سوناتا 16 مكيفها للأمانة مايجي ربع الالنترا اللي كانت معي.
Neg,معي سوناتا 17 ماش مكيفها.
Neg,و الله اساساً كل الكوري مكيفاته تعبانة لا ينفع وياها منتج و لا مراوح.
Pos,التيما مكيف ثلج ما شاء الله و الصرفية ممتازة.
Pos,سوناتا 2017 مكيفها بارد واخويائي معهم سانتافي وسوناتات و النترات كلها مكيفاتهم باردة.
Neg,انا عندي جينيسس 2014 من يوم أخذتها وكالة ومكيفها بالظهر (بالوقوف فقط) تعبان صراحه ما يتقارن مع الياباني و الامريكي مثلاً.
Pos,انا مره كنت راكب مع واحد معاه النترا بالظهر وعند الاشارات صراحه ممتاز مكيفها وموديلها 2013.
Neg,انا استأجرت سوناتا و كانت ماشيه 80 الف كم مكيفها أول ما شغلته كان بارد و لكن بعد مسافة فصل وأصبح حار و خاصة مع  الوقوف.
Pos,بتجربتي للسيارات ما مرعلي مثل مكيفات سيارات نيسان في قوة التبريد، في عز الظهرية ثلج ما شاء الله.
Pos,اما اللكزس جربته، صراحه مهما تجلدينه وتقولين اخرب ما يخرب.
Pos,شوفي سيارات انفنيتي راقية وسعرها معقول.
Neg,الناس أكلوا مقلب في الكامري العادية قالو اللتر يمشي 18 كيلو لكن حسب التجارب الكل متفق على انه يمشي فقط 12 كيلو.
Pos,الصني كان عندنا 2010 و الحرارة على الربع ما تنزل و لا ترتفع.
Mix,من ناحية الكرف ورخص القطع فاكيد النيسان بس لا تدور فيه راحه. 
Pos,بالنسبة للاوبتيما سيارة عملية وممتازة ومريحة. 
Pos,الاوبتيما و اللي مثلها اريح وأنسب للخط و تحميل الركاب.
Mix,استأجرت درانجو 2015 ثمانيه سلندر عزم و صرفية زي الحلاوة بس الوكيل العيب الوحيد حاليا في الدودج.          
Pos,التاهو سيارة عملية جداً وقليلة الأعطال مثل الماركيز.
Neg,المرسيدس ال سي مره صغير بتكره حياتك وتطفش منه.
Neg,مرسيدس ضيق وعزمه يفقع المرارة و ممل مع تيربو.
Mix,الميتسوبيشي بوجة عام موتر ياباني ياباني لك و للزمن لكن حط في بالك صرفية البنزين وقلة المواصفات و الراحه موتر كد ومكده.
Pos,السيارة تكد وكفو.
Pos,عزم وقوة ممتازة.
Pos,السيارة حمار مكده وكرف.
