Text,Polarity
" 2000 ريال للمتر, من المغفل اللي بيشتري بهالسعر.",Neg
الله ينتقم على كل عقاري يستغل المواطن برفع الاسعار مقابل حاجة لمسكن و يجعل ما يربحه يصرفه على صحته.,Neg
قرض يقص الظهر و المستفيد الوحيد البنوك.,Neg
غلاء فاحش فالعقار ولا يستاهل هالقيمة الغالية ولا فيه قوانين تكبح زيادة الأسعار للأسف.,Neg
وزارة الاسكان و الصندوق العقاري يساعد على الفساد لتحميل المواطن فوق طاقته بالقروض الربوية.,Neg
نريد القرض العقاري 500 الف بدون فوائد غيرها بلوها و اشربوا مويتها.,Neg
خبر طيب لو تم عاجلا بدون مقدمات لأهل العقار ، طبعاً المقصود هنا بدون فوائد.,Pos
القسط أقوى من النظام القديم طبعا الأنها الية بنكية تجارية ربوية و لكن الحكومة من سيدفع الفوائد للبنوك و لكن بفائدة أقل جدا من اللي يشفطونها من المواطن المغلوب على أمره.,Mix
"وزارة الاسكان و الصندوق العقاري دعم لا محدود للعقاريين وين قرار الرسوم البيضاء, وين منتجاتكم اللي ازعجتونا فيها للمواطنين, وين قروض المواطنين اللي اجلتوها و اوقفتوها بدون وجه حق.",Neg
"مع وزارة الاسكان تنتقل من هم السكن الى هم الدين, الدين هم بالليل و ذل في النهار.",Neg
الله يستر من البنوك و قروضها اهم شي ما يسوون زي البنوك الامريكيه اول ماتتعثر كم قسط يطلعونك انت و عيالك وياخذون بيتك.,Neg
وزارة الاسكان تبي تحل ازمة السكن على ظهور الناس تركبهم ديون مضاعفه طويلة الأجل.,Neg
وزارة الاسكان تعبث و تتخبط بشكل علني و مخجل.,Neg
"صدقوني العقار راح ينزل للاسباب التالية, قلة السيولة مع الناس, العرض اكثر من الطلب, فتح مشاريع عمرانية جديدة.",Pos
الايام القادمة سيكون هناك نزول قوي في العقار باذن الله.,Pos
الخطأ الكارثي هو تمكين تجار العقار من المشاركة في صنع القرارات المصيرية في التنمية خاصة مايتعلق بالاحتياجات الضرورية كالسكن ، هذه البرامج زادت من تضخم العقار.,Neg
أود التذكير بأن عدم تنفيذ الأحكام القضائية ضد الصندوق العقاري هو أكبر سبب يجعل من يرغب بالتمويل المدعوم يفكر الف مرة، كيف و هي احكام قضائية قطعية.,Neg
"خرجت من مقر الصندوق لاني لم اتعامل بالرباء في مقتبل عمري فكيف بي وانا في خريفه, أسأل الله الحي القيوم أن ينتقم ممن تسبب في هذا و ضيق على المواطنين.",Neg
هذا ثالث رد لي من الغبنة و القهر. الله لا يوفق من كان السبب في تحويلنا للبنوك قسم بالله شي يرفع الضغط و الا وش ذنبي انا مقدم و طلع اسمي قبل النظام الجديد و اتفاجأ بانهم حولوني للبنوك.,Neg
يا عم الناس تشتري بيوت قديمة وترممها اساسها قوي.,Pos
من المخرف الي بيشري منزل اقساط في هذا الزمن! الوضع غير مطمئن و واضح.,Neg
بما ان الصندوق سيتحمل الفوائد عن المواطن . لماذا لا تكون العلاقة مباشرة بين الصندوق والبنوك ، المفترض الصندوق هو من يقترض من البنوك و يقرض المواطن ليش اللفة الطويلة و التعقيد.,Neg
"طلعت اصبت بالاحباط قلت ليش الفلل زي القواطي تقول شقق دبلكسيه دام هذا النظام طيب ما تصلح لي ولعائلتي و حنا 9 انفار اخوان و اخوات و امي و بعدين, وين اوديهم في 250 متر .",Neg
"دبلكسات متشابهه حليلة في نفس المنطقة على 420 متر مربع ب مليون و750 الف, وش الغلاء وش الفحش.",Neg
البيت موقعه جيد ويحتاج الي ترميم او هد بالكامل و بناء مكانه.,Mix
للبيع برج الشاشة الشهير في محافظة جدة و يعتبر احد المعالم الهامة في جده يتكون من 37 دور ويضم اضخم لوحة اعلانات في العالم تقنية ال اي دي.,Pos
للبيع عماره في جدة سكني تجاري الدخل ممتاز.,Pos
عماره سكنيه فاخرة حديثة البناء بعمر سنتين ونصف الأطول في منطقتها مع إطلالة واضحة على طريق المدينة.,Pos
اللي ما تدبس باسعارهم قبل بيتدبس معهم الحين.,Neg
على حسب المجلة ان النرجس زاد بنسبة 100% و ليس 48 % من سعر 1100 الى سعر 2200 ريال.,Neg
من 2013 ننتظر الانهيار و اخرتها صعود و حسبي الله على المرجفين بالعقار.,Neg
للامانه الاراضي التي في وسط البلد نزلت نزول طفيف.,Pos
"حسبي الله بس, وش ذي الأسعار.",Neg
من جدك انت وياه الاجانب بيشترون بسعرك الخيالي ذا والله ما بيتحرك شئ.,Neg
"حي النرجس شمال طريق الملك سلمان, اعتقد انه سوف يكون أفضل حي و أفخم حي بالرياض, لموقعه الاستراتيجي و قربه من المطار, أنصح الجميع بالشراء.",Pos
مشكلة الشمال عدم اكتمال الخدمات و بعيد جدا احد الاصدقاء باع بيته بشمال طريق الملك سلمان و اشترى بحي الملقا و السبب البعد و عدم اكتمال الخدمات.,Neg
يحتاج وقت و الخدمات مفقودة. نعم موقعه أفضل احياء شمال الرياض بلا منازع. موقع ما عليه غبار.,Mix
الخدمات سوف تكتمل قريبا و ليس بعيد ابدا.,Pos
شمال سلمان بستة كيلو على طريق ابوبكر على اليمين منطقة رائعة للسكن والاستثمار.,Pos
حي النرجس ممتاز و موقع استراتيجي شمال الرياض خاصه المنطقة جنوب طريق الملك سلمان.,Pos
سعرها مناسب جدا للمنطقة بالنسبة للأراضي المجاورة، و لها مستقبل قوي.,Pos
للبيع أرض كبيرة بموقع رائع.,Pos
ارض خام للبيع أرض تجارية استثمارية على طريق الملك عبدالله مساحة 160.000 م بموقع مميز و بسعر 4000 ريال للمتر.,Pos
السعر مرتفع في الوضع الحالي.,Neg
أرض بمكان رائع . أرض بين مخرج 7و 6 للبيع مساحتها 8000 بجوار شركة لكزس البيع 12000 الف للمتر قابلة للتفاوض. مناسبة لوكالة أو معرض.,Pos
الاسعار مولعة خصوصا الاراضي بعد قرار ايقاف ايصال خدمات الكهرب للاراضي بدون صكوك. ,Neg
الاراضي بصكوك ارتفعت و بترتفع اكثر مع قروض 140 الف للعسكر والمدنيين. ,Neg
اراضي آخر الدنيا  صحرا ء لا خدمات و لا سكان و لا شئ.,Neg
الشراء بالأسعار الفلكية الحالية و عن طريق القروض و الديون هو  إنتحار مالي بكل ماتعني الكلمة من معنى.,Neg
"هناك اكثر من 120 الف مواطن صدرت لهم الموافقة و لم يستلموا قروضهم بسبب أسعار الأراضي المبالغ بها جدا رغم النزول الحالي, لن يخدم القرض الا من يملك ارض فعلا.",Neg
لا للشراء الى ان يتم تصحيح الاسعار المتضخمة و الغير منطقية.,Neg
"سيندم أشد الندم من يقترض الآن و الأيام القادمة ستكون خير دليل لمن اقترض, سيستعبد بقية حياته و حياة اسرته و  هي مرهونة لمدة 25 عام للبنوك و للفوائد الربوية و التي سترتفع لمستويات قياسية خلال الأشهر و السنوات القادمة.",Neg
نعم اللي عنده قدرة شرائية لا يتأخر يحط فلوسه في بيت يضمه و عياله و لا يهم طلع العقار او نزل لكن قروض ل 20 سنة و25 سنة هذي لازم يفكر فيها الف مره.,Mix
اذا كان الشراء عن طريق القروض و الديون و بهذه الاسعار المتضخمة جدا فلن يرتاح للأسف.,Neg
من يشتري الان و بهذه الأسعار المتضخمة فهي خسارة محققة.,Neg
العقار سلعة من ضمن السلع اللي بيجرفها سيل الغلاء غدا.,Neg
العقار سبق كل السلع و الخدمات و ارتفع اضعاف مضاعفة حتى وصل لأسعار فلكية الان و هو احد الاسباب الرئيسية في ارتفاع كل السلع و الخدمات.,Neg
العقار ارتفع و شبع ارتفاعا و وصل الى ارقام جنونية.,Neg
"العقار أصل هو و الذهب يعتبرون من الأصول الاقتصادية و من الملاذات الآمنة, العقار يرهن و يقبل ارتهانه.",Pos
و لله الحمد شريتها كاش و بدون ديون و استفدت من رخص الأسعار قبل ثلاث اشهر.,Pos
"إحذر المصيدة, يتجاهلون حل المشكلة الاساسية و هي إرتفاع الأسعار و تضخمها و يركزون على التمويل.",Neg
بعض المواقع إرتفعت فيها الأسعار بنسبة 600 % خلال هذه الفترة القصيرة نتيجة للمضاربات المحمومة.,Neg
بعد أن إرتفعت الأسعار بشكل جنوني و سريع بعد ذلك توقفت عن الحث على الشراء ثم بعد ذلك بدأت بالتحذير.,Neg
العقار دخل فعليا مرحلة تصحيح قوى جدا.,Pos
العقار سينزل إلى أسعار عقلانية و منطقية تناسب قدرة المواطن الشرائية.,Pos
الأراضى غير صالحة لحفظ المال كالسابق.,Neg
"قادم الأيام لن يتعدى سعر المتر 300 ريال فقط, انتهى عصر الجنون و زوغان العقول.",Pos
"العقار ليس ملاذ آمن للمستثمرين, بنوك امريكية افلست بسبب استثمارها بالعقار .",Neg
مع زيادة كل شئ القروض الآن خطيرة. مع تضخم العقار الغير منطقي.,Neg
"من يشتري الاراضي خصوصا فسيندم بشدة, اما العقار المبني فسينزل الى نصف قيمته الحالية تقريبا كتوقع بسبب انخفاض قيمة الاراضي و انخفاض العائد الاستثماري.",Mix
المخططات الغير مطوره هذي أسعارها تنزل و ترتفع بسبب المضاربات.,Mix
تضخم أسعار بشكل خرافي نتيجة احتكار و مضاربات حدثت سابقا.,Neg
الاسعار لا تزال مرتفعة جدا بالنسبة للأراضي السكنية.,Neg
نعم هذا أغلب شغل التجاري نصب و إحتيال و طبطب و ليس و النتيجة مرة.,Neg
حسبنا الله و نعم الوكيل، احذروا من شغل النصب و الإحتيال على معظم الشقق والفلل.,Neg
الخوف يتورط الشخص في شقة أو فلة و تطلع مضروبة مثل هذي.,Neg
صاحب العمارة يقول عمارتي بتطيح.,Neg
مايقدر أحد الآن يشتري عقار لأن الأسعار ولعت و ارتفعت كثيرا.,Neg
للأسف ما عاد فيه قرض بدون فوائد.,Neg
السبب الرئيسي هو تضخم أسعار الاراضي بشكل غير مبرر.,Neg
"الشراء الان في بداية النزول و التصحيح الطبيعي خسارة مؤكدة, السوق الان يصحح اوضاع حصلت بسبب تشوهات سابقة و على رأسها الاحتكار.",Mix
الانتظار الان مجدي اكثر مع موجة النزول.,Pos
من متابعة ميدانية شبه يوميه الأسعار في نزول مستمر و الملاحظ خلال الشهرين الماضيين تسارع في النزول.,Pos
أنت تشتري بضاعة كاسدة سعرها مرتفع جدا.,Neg
الاسعار حاليا في هبوط مستمر و ربما تجدها بعد سنة او سنتين بنص السعر الحالي.,Pos
الاسعار متضخمة جداً والنزول في بدايته فقط.,Mix
ابعد عن الداب و شجرته هذا المثل ينطبق على العقار و اهله الآن.,Neg
هناك من يحمل نفسه فوق طاقتها و يستدين و يقترض بفوائد ليشتري بضاعة متضخمة السعر و سيئة و لا تستحق نصف سعرها.,Neg
الشراء خطأ كبير جدا و غير حكيم.,Neg
 الأسعار الحالية متضخمة جدا و قد تجاوزت حتى السقف الأعلى، نتيجة المضاربات المحمومة و الناتج عن غسيل أموال بالمليارات من الريالات و تعتبر حاليا في مستويات بيع و تخارج و كبار ملاك الاراضي يعلمون ذلك.,Neg
الشراء في بداية موجة النزول خطأ فادح و له نتائج كارثية على المشتري.,Neg
الأسعار ستواصل الهبوط و لكن لا أعتقد انها ستصل إلى قيعانها المفترضة خلال عام واحد أو حتى عامين سيستغرق الامر وقت أطول.,Mix
العقار الان في رحلة نزول ستكون طويلة و طبيعية.,Pos
بترتفع العقارات بشكل مهول جدا.,Neg
برامج مميزة من البنوك و تسهيلات تمويلية للشراء تسهيلات غير متوقعة ابدا.,Pos
الان فيه اراضي صيدة و اسعارها طيبة في مخططات ليست ببعيدة عن مركز المدن الكبرى فمثلا مدينة جدة ابحثوا في مخطط الفروسية و طيبة و الرياض ففيها أراضي سعرها نازل و مقدور عليه.,Pos
مدينة الدمام مخطط ضاحية الملك فهد نزل سعر الأراضي هناك.,Pos
النزول عام في كل المناطق. والامر لايحتاج خبير ليعرف ذلك.,Pos
شبكة المياه غير متوفرة في تلك المخططات.,Neg
احذر ثم احذر ان تتورط بهذه الأسعار.,Neg
عجلة النزول بدأت بالدوران و لن تتوقف.,Pos
أسعار السلع و العقارات متجهة لإنخفاض حاد.,Pos
انا معك يا خوي ان العقار بينزل.,Pos
المشكلة الرئيسية الان ان الاسعار في قمم سعرية غير منطقية.,Neg
